age,sex,imd_quintile,year,time_since_quit,p_relapse_1month
49,2,5,2013,2,0.004384908649197383
49,2,5,2013,3,0.0026757291804534455
49,2,5,2013,4,0.0016218912101794158
49,2,5,2013,5,0.001238952989769948
49,2,5,2013,6,0.0005889202416953232
49,2,5,2013,7,0.0007506778421274563
49,2,5,2013,8,0.000159968119264553
49,2,5,2013,9,0.0006967035558660406
49,2,5,2013,10,0.0
49,2,5,2014,1,0.008558513121528555
49,2,5,2014,2,0.0042929094352794905
49,2,5,2014,3,0.0026193541016293898
49,2,5,2014,4,0.0015876370589847921
49,2,5,2014,5,0.0012127644674022608
49,2,5,2014,6,0.0005764546852357055
49,2,5,2014,7,0.0007347937599087029
49,2,5,2014,8,0.00015657913449163008
49,2,5,2014,9,0.0006819598834689744
49,2,5,2014,10,0.0
49,2,5,2015,1,0.008803425393296482
49,2,5,2015,2,0.004427848512646326
49,2,5,2015,3,0.002704928146854635
49,2,5,2015,4,0.0016407813974743668
49,2,5,2015,5,0.0012537246253052636
49,2,5,2015,6,0.0005962238560037747
49,2,5,2015,7,0.0007598970486538681
49,2,5,2015,8,0.00016200381741926506
49,2,5,2015,9,0.0007052878454418821
49,2,5,2015,10,0.0
49,2,5,2016,1,0.009314373461075554
49,2,5,2016,2,0.004703715450464663
49,2,5,2016,3,0.0028784046029375343
49,2,5,2016,4,0.001747944070263907
49,2,5,2016,5,0.0013361571652227289
49,2,5,2016,6,0.0006358765577741954
49,2,5,2016,7,0.0008102909157412519
49,2,5,2016,8,0.00017286039642172568
49,2,5,2016,9,0.000752104773903195
49,2,5,2016,10,0.0
49,2,5,2017,1,0.009357136654711828
49,2,5,2017,2,0.004739133080256863
49,2,5,2017,3,0.0029038425592128325
49,2,5,2017,4,0.0017648863657191427
49,2,5,2017,5,0.0013495363533693183
49,2,5,2017,6,0.0006425974706946169
49,2,5,2017,7,0.0008187419344211078
49,2,5,2017,8,0.00017475241615827475
49,2,5,2017,9,0.0007599839640046735
49,2,5,2017,10,0.0
49,2,5,2018,1,0.009605288732406736
49,2,5,2018,2,0.004849880557971198
49,2,5,2018,3,0.002967437656610894
49,2,5,2018,4,0.001801805900808473
49,2,5,2018,5,0.0013772651238528333
49,2,5,2018,6,0.0006553823223667266
49,2,5,2018,7,0.0008351659219563157
49,2,5,2018,8,0.00017815164688439467
49,2,5,2018,9,0.0007751876980308658
49,2,5,2018,10,0.0
49,2,5,2019,1,0.009621638090792972
49,2,5,2019,2,0.004857917294764813
49,2,5,2019,3,0.0029723036361810617
49,2,5,2019,4,0.0018047414320399024
49,2,5,2019,5,0.001379503718179298
49,2,5,2019,6,0.000656443333381107
49,2,5,2019,7,0.0008365193310277963
49,2,5,2019,8,0.00017843930175642786
49,2,5,2019,9,0.0007764434946965215
49,2,5,2019,10,0.0
49,1,1,2011,1,0.0073967640569305715
49,1,1,2011,2,0.0036772415460873953
49,1,1,2011,3,0.0022351395002514485
49,1,1,2011,4,0.0013514274597195008
49,1,1,2011,5,0.0010313839810623948
49,1,1,2011,6,0.0004894659036889237
49,1,1,2011,7,0.0006241586695587831
49,1,1,2011,8,0.00013280966482309697
49,1,1,2011,9,0.0005792032583030737
49,1,1,2011,10,0.0
49,1,1,2012,1,0.00732701464686103
49,1,1,2012,2,0.003640515244510145
49,1,1,2012,3,0.0022122663727307534
49,1,1,2012,4,0.001337381407275351
49,1,1,2012,5,0.0010206025932802953
49,1,1,2012,6,0.00048429862936327783
49,1,1,2012,7,0.0006175857013881458
49,1,1,2012,8,0.00013139831955644166
49,1,1,2012,9,0.0005730986903026425
49,1,1,2012,10,0.0
49,1,1,2013,1,0.007307574609301093
49,1,1,2013,2,0.003629765733045187
49,1,1,2013,3,0.002205441588315038
49,1,1,2013,4,0.0013331404785936751
49,1,1,2013,5,0.0010173333421381603
49,1,1,2013,6,0.00048272028751850105
49,1,1,2013,7,0.0006155816278171633
49,1,1,2013,8,0.00013096514846011598
49,1,1,2013,9,0.0005712363036919355
49,1,1,2013,10,0.0
49,1,1,2014,1,0.007370722838121679
49,1,1,2014,2,0.003665286484639152
49,1,1,2014,3,0.002228119379416804
49,1,1,2014,4,0.0013472762802956284
49,1,1,2014,5,0.0010282419704644719
49,1,1,2014,6,0.0004879959178019089
49,1,1,2014,7,0.0006222774497813832
49,1,1,2014,8,0.0001324146059703546
49,1,1,2014,9,0.0005774596138445887
49,1,1,2014,10,0.0
49,1,1,2015,1,0.007666522368485529
49,1,1,2015,2,0.003815500043285902
49,1,1,2015,3,0.002320161646330976
49,1,1,2015,4,0.0014031993080184657
49,1,1,2015,5,0.0010709961902726217
49,1,1,2015,6,0.0005083458147926434
49,1,1,2015,7,0.0006482083243916081
49,1,1,2015,8,0.00013794693231095057
49,1,1,2015,9,0.0006015286789982088
49,1,1,2015,10,0.0
49,1,1,2016,1,0.008058061113534687
49,1,1,2016,2,0.004025450203099079
49,1,1,2016,3,0.0024519112083966066
49,1,1,2016,4,0.0014844972548867519
49,1,1,2016,5,0.001133510678681171
49,1,1,2016,6,0.0005384007571248572
49,1,1,2016,7,0.0006864095712759699
49,1,1,2016,8,0.00014617304294717304
49,1,1,2016,9,0.0006370168515544838
49,1,1,2016,10,0.0
49,1,1,2017,1,0.00828964612669636
49,1,1,2017,2,0.00414757177375269
49,1,1,2017,3,0.0025279697777240706
49,1,1,2017,4,0.0015311975782933418
49,1,1,2017,5,0.0011693540496793275
49,1,1,2017,6,0.0005555770795006021
49,1,1,2017,7,0.0007082593921802216
49,1,1,2017,8,0.00015086388477625334
49,1,1,2017,9,0.0006573093483374093
49,1,1,2017,10,0.0
49,1,1,2018,1,0.009124501820096276
49,1,1,2018,2,0.0045682179290544855
49,1,1,2018,3,0.0027853154111955325
49,1,1,2018,4,0.0016874788930415496
49,1,1,2018,5,0.001288823968791375
49,1,1,2018,6,0.0006124401847257266
49,1,1,2018,7,0.0007807167022307882
49,1,1,2018,8,0.00016632372044811383
49,1,1,2018,9,0.0007245644009530317
49,1,1,2018,10,0.0
49,1,1,2019,1,0.009630363915294926
49,1,1,2019,2,0.004814720075497658
49,1,1,2019,3,0.0029340474642910452
49,1,1,2019,4,0.001777012397703337
49,1,1,2019,5,0.001357047321752125
49,1,1,2019,6,0.000644732312089058
49,1,1,2019,7,0.0008219217671604495
49,1,1,2019,8,0.00017507081798218138
49,1,1,2019,9,0.0007627933676334075
49,1,1,2019,10,0.0
49,1,2,2011,1,0.008105055947530193
49,1,2,2011,2,0.004047959175869309
49,1,2,2011,3,0.002465090036405604
49,1,2,2011,4,0.0014922136393966667
49,1,2,2011,5,0.0011393194822352237
49,1,2,2011,6,0.0005410864197453735
49,1,2,2011,7,0.0006898578165009939
49,1,2,2011,8,0.00014688777714844115
49,1,2,2011,9,0.0006402095170113808
49,1,2,2011,10,0.0
49,1,2,2012,1,0.00800817758984207
49,1,2,2012,2,0.004006130399420882
49,1,2,2012,3,0.002441662011949175
49,1,2,2012,4,0.0014788961463862993
49,1,2,2012,5,0.001129407463767107
49,1,2,2012,6,0.0005365954603243628
49,1,2,2012,7,0.0006840618385258734
49,1,2,2012,8,0.00014570938254532262
49,1,2,2012,9,0.0006348523087940094
49,1,2,2012,10,0.0
49,1,2,2013,1,0.007845699410470308
49,1,2,2013,2,0.003933485468789577
49,1,2,2013,3,0.0023999337591266157
49,1,2,2013,4,0.0014546702441722292
49,1,2,2013,5,0.0011112127265612282
49,1,2,2013,6,0.0005282071257237675
49,1,2,2013,7,0.0006732855312671093
49,1,2,2013,8,0.00014347929547497973
49,1,2,2013,9,0.0006248767313216108
49,1,2,2013,10,0.0
49,1,2,2014,1,0.007797334212100382
49,1,2,2014,2,0.003905150832486326
49,1,2,2014,3,0.0023815855168874966
49,1,2,2014,4,0.0014431381538991817
49,1,2,2014,5,0.0011022873557627877
49,1,2,2014,6,0.0005238696318077274
49,1,2,2014,7,0.0006677869707669704
49,1,2,2014,8,0.00014228384746872713
49,1,2,2014,9,0.0006197641496754613
49,1,2,2014,10,0.0
49,1,2,2015,1,0.007795639803580556
49,1,2,2015,2,0.0039011268857168657
49,1,2,2015,3,0.002378287525510836
49,1,2,2015,4,0.0014408088425461596
49,1,2,2015,5,0.0011004140307599997
49,1,2,2015,6,0.0005229019626240561
49,1,2,2015,7,0.0006665782132477815
49,1,2,2015,8,0.0001420068969725241
49,1,2,2015,9,0.0006186346681213983
49,1,2,2015,10,0.0
49,1,2,2016,1,0.007990249128137394
