year,age,sex,imd_quintile,p_start_1month
2015,15,2,3,0.004708726394639151
2015,15,2,4,0.004796378766143139
2015,15,2,5,0.005626140971930926
2015,15,1,1,0.006112937059864265
2015,15,1,2,0.005924735563133332
2015,15,1,3,0.006844275439916614
2015,15,1,4,0.006783964366979145
2015,15,1,5,0.008905432959824822
2015,16,2,1,0.002977409353638105
2015,16,2,2,0.0029788183757045728
2015,16,2,3,0.003627185909779951
2015,16,2,4,0.003499604980302995
2015,16,2,5,0.004081230624304322
2015,16,1,1,0.005066391082216404
2015,16,1,2,0.005123626778071211
2015,16,1,3,0.005844511127243379
2015,16,1,4,0.005820876523718543
2015,16,1,5,0.007603804945165216
2015,17,2,1,0.0022330732416835364
2015,17,2,2,0.0021170077136497545
2015,17,2,3,0.002586708679307992
2015,17,2,4,0.0023285409983718752
2015,17,2,5,0.002709000371333259
2015,17,1,1,0.003787166607473247
2015,17,1,2,0.003917808227941744
2015,17,1,3,0.00443228977062371
2015,17,1,4,0.004592235216796747
2015,17,1,5,0.005736134869292475
2015,18,2,1,0.0015740240321577836
2015,18,2,2,0.0014873043647083417
2015,18,2,3,0.0017380928826170594
2015,18,2,4,0.0014361367924001778
2015,18,2,5,0.0016549412616801984
2015,18,1,1,0.0026764792384141867
2015,18,1,2,0.002845715694087536
2015,18,1,3,0.0031079982319172084
2015,18,1,4,0.0034305864502930383
2015,18,1,5,0.004104947307798534
2015,19,2,1,0.001131878020680377
2015,19,2,2,0.0010159411034962318
2015,19,2,3,0.001156991623393333
2015,19,2,4,0.0009824744607213054
2015,19,2,5,0.0010235967697816983
2015,19,1,1,0.0018105476063660086
2015,19,1,2,0.0019317737825905734
2015,19,1,3,0.001980955650141225
2015,19,1,4,0.0023747422968357634
2015,19,1,5,0.002721834299695969
2015,20,2,1,0.0007274183199954543
2015,20,2,2,0.0006933090591340063
2015,20,2,3,0.000746242415677556
2015,20,2,4,0.0006772319540205851
2015,20,2,5,0.0006899573733788467
2015,20,1,1,0.0012226963603433338
2015,20,1,2,0.0014269310738048713
2015,20,1,3,0.001402364372402376
2015,20,1,4,0.0016702627721943974
2015,20,1,5,0.001817436827651564
2015,21,2,1,0.0005571598067595218
2015,21,2,2,0.000521987797818646
2015,21,2,3,0.0005814806763347891
2015,21,2,4,0.0005440990706420124
2015,21,2,5,0.000533970862638955
2015,21,1,1,0.0009217344932670457
2015,21,1,2,0.001154588880125318
2015,21,1,3,0.0011127122910572496
2015,21,1,4,0.001281894933163108
2015,21,1,5,0.0013477726868980078
2015,22,2,1,0.0005571598067595218
2015,22,2,2,0.000521987797818646
2015,22,2,3,0.0005814806763347891
2015,22,2,4,0.0005440990706420124
2015,22,2,5,0.000533970862638955
2015,22,1,1,0.0009217344932670457
2015,22,1,2,0.001154588880125318
2015,22,1,3,0.0011127122910572496
2015,22,1,4,0.001281894933163108
2015,22,1,5,0.0013477726868980078
2015,23,2,1,0.0005571598067595218
2015,23,2,2,0.000521987797818646
2015,23,2,3,0.0005814806763347891
2015,23,2,4,0.0005440990706420124
2015,23,2,5,0.000533970862638955
2015,23,1,1,0.0009217344932670457
2015,23,1,2,0.001154588880125318
2015,23,1,3,0.0011127122910572496
2015,23,1,4,0.001281894933163108
2015,23,1,5,0.0013477726868980078
2015,24,2,1,0.0005571598067595218
2015,24,2,2,0.000521987797818646
2015,24,2,3,0.0005814806763347891
2015,24,2,4,0.0005440990706420124
2015,24,2,5,0.000533970862638955
2015,24,1,1,0.0009217344932670457
2015,24,1,2,0.001154588880125318
2015,24,1,3,0.0011127122910572496
2015,24,1,4,0.001281894933163108
2015,24,1,5,0.0013477726868980078
2015,25,2,1,0.0005571598067595218
2015,25,2,2,0.000521987797818646
2015,25,2,3,0.0005814806763347891
2015,25,2,4,0.0005440990706420124
2015,25,2,5,0.000533970862638955
2015,25,1,1,0.0009217344932670457
2015,25,1,2,0.001154588880125318
2015,25,1,3,0.0011127122910572496
2015,25,1,4,0.001281894933163108
2015,25,1,5,0.0013477726868980078
2015,26,2,1,0.0005571598067595218
2015,26,2,2,0.000521987797818646
2015,26,2,3,0.0005814806763347891
2015,26,2,4,0.0005440990706420124
2015,26,2,5,0.000533970862638955
2015,26,1,1,0.0009217344932670457
2015,26,1,2,0.001154588880125318
2015,26,1,3,0.0011127122910572496
2015,26,1,4,0.001281894933163108
2015,26,1,5,0.0013477726868980078
2015,27,2,1,0.0005571598067595218
2015,27,2,2,0.000521987797818646
2015,27,2,3,0.0005814806763347891
2015,27,2,4,0.0005440990706420124
2015,27,2,5,0.000533970862638955
2015,27,1,1,0.0009217344932670457
2015,27,1,2,0.001154588880125318
2015,27,1,3,0.0011127122910572496
2015,27,1,4,0.001281894933163108
2015,27,1,5,0.0013477726868980078
2015,28,2,1,0.0005571598067595218
2015,28,2,2,0.000521987797818646
2015,28,2,3,0.0005814806763347891
2015,28,2,4,0.0005440990706420124
2015,28,2,5,0.000533970862638955
2015,28,1,1,0.0009217344932670457
2015,28,1,2,0.001154588880125318
2015,28,1,3,0.0011127122910572496
2015,28,1,4,0.001281894933163108
2015,28,1,5,0.0013477726868980078
2015,29,2,1,0.0005571598067595218
2015,29,2,2,0.000521987797818646
2015,29,2,3,0.0005814806763347891
2015,29,2,4,0.0005440990706420124
2015,29,2,5,0.000533970862638955
2015,29,1,1,0.0009217344932670457
2015,29,1,2,0.001154588880125318
2015,29,1,3,0.0011127122910572496
2015,29,1,4,0.001281894933163108
2015,29,1,5,0.0013477726868980078
2015,30,2,1,0.0005571598067595218
2015,30,2,2,0.000521987797818646
2015,30,2,3,0.0005814806763347891
2015,30,2,4,0.0005440990706420124
2015,30,2,5,0.000533970862638955
2015,30,1,1,0.0009217344932670457
2015,30,1,2,0.001154588880125318
2015,30,1,3,0.0011127122910572496
2015,30,1,4,0.001281894933163108
2015,30,1,5,0.0013477726868980078
2016,12,2,1,0.004609670141127786
2016,12,2,2,0.004396089924486923
2016,12,2,3,0.005556768390451161
2016,12,2,4,0.006161254700146501
2016,12,2,5,0.007839557971423328
2016,12,1,1,0.005986542627174796
2016,12,1,2,0.005721395624952552
2016,12,1,3,0.006154329095837463
2016,12,1,4,0.006731754255695499
2016,12,1,5,0.008931408355387749
2016,13,2,1,0.004591537589331285
2016,13,2,2,0.004386743985878905
2016,13,2,3,0.005559011928035651
2016,13,2,4,0.006044201098416524
2016,13,2,5,0.007574473196378051
2016,13,1,1,0.006233441460897993
2016,13,1,2,0.005986034927870754
2016,13,1,3,0.006567521749622607
2016,13,1,4,0.006960784574307932
2016,13,1,5,0.009163530309869716
2016,14,2,1,0.0043353034251407685
2016,14,2,2,0.004263106728912502
2016,14,2,3,0.005377273580773889
2016,14,2,4,0.005599367591248461
2016,14,2,5,0.006811064581019988
2016,14,1,1,0.006497291158813812
2016,14,1,2,0.00623489637136132
2016,14,1,3,0.007073483691796056
2016,14,1,4,0.007157740482123254
2016,14,1,5,0.009569584966314326
2016,15,2,1,0.0037618362036376807
2016,15,2,2,0.003712956858578864
2016,15,2,3,0.00461367488533293
2016,15,2,4,0.004648611785874834
2016,15,2,5,0.00556684582458733
2016,15,1,1,0.006035755477054705
2016,15,1,2,0.005809824961276022
2016,15,1,3,0.006704649897022796
2016,15,1,4,0.006682390963924867
2016,15,1,5,0.00890423260285711
2016,16,2,1,0.0029014218661542746
2016,16,2,2,0.002897843121918098
2016,16,2,3,0.003543457426867236
2016,16,2,4,0.0033745019273653254
2016,16,2,5,0.004034263109869651
2016,16,1,1,0.004987850039272157
2016,16,1,2,0.004982851960249279
2016,16,1,3,0.005707408593774055
2016,16,1,4,0.005717174150616566
2016,16,1,5,0.007585420924295372
2016,17,2,1,0.0021533285640126243
2016,17,2,2,0.002034583234036713
2016,17,2,3,0.0025138508391362446
2016,17,2,4,0.0022350822723998798
2016,17,2,5,0.0026653101241517207
2016,17,1,1,0.0036940104177857203
2016,17,1,2,0.003774169426501217
2016,17,1,3,0.004308804831742674
2016,17,1,4,0.004481002758557451
2016,17,1,5,0.005710466920014645
2016,18,2,1,0.0014877278070311029
2016,18,2,2,0.001406708960905445
2016,18,2,3,0.0016729594190734165
2016,18,2,4,0.0013639568515902978
2016,18,2,5,0.0016133798765578522
2016,18,1,1,0.0025593564384491785
2016,18,1,2,0.0027051843040075685
2016,18,1,3,0.003005868455107641
2016,18,1,4,0.0033156539488464754
2016,18,1,5,0.004058996624271782
2016,19,2,1,0.0010494651452698234
2016,19,2,2,0.0009473522754708252
2016,19,2,3,0.001099474830144942
2016,19,2,4,0.0009290733317015576
2016,19,2,5,0.0009851373207643288
2016,19,1,1,0.001703921599376379
2016,19,1,2,0.0018230170332274032
2016,19,1,3,0.0018998289582283778
2016,19,1,4,0.002267348283191306
2016,19,1,5,0.0026738978288368687
2016,20,2,1,0.0006504572753968096
2016,20,2,2,0.0006413834348126812
2016,20,2,3,0.0006954799698704051
2016,20,2,4,0.0006282513867310602
2016,20,2,5,0.0006589243639283371
2016,20,1,1,0.0011388879666599516
2016,20,1,2,0.001325538144472116
2016,20,1,3,0.0013338339766051366
2016,20,1,4,0.0015763642654510468
2016,20,1,5,0.0017641236161344276
2016,21,2,1,0.000489274922284233
2016,21,2,2,0.00047977117668140945
2016,21,2,3,0.0005356765218463844
2016,21,2,4,0.000500230302821536
2016,21,2,5,0.0005063800924450801
2016,21,1,1,0.0008555243586904071
2016,21,1,2,0.0010636965629672313
2016,21,1,3,0.0010483344351653878
2016,21,1,4,0.0011978224885403899
2016,21,1,5,0.0012982775457798246
2016,22,2,1,0.000489274922284233
2016,22,2,2,0.00047977117668140945
2016,22,2,3,0.0005356765218463844
2016,22,2,4,0.000500230302821536
2016,22,2,5,0.0005063800924450801
2016,22,1,1,0.0008555243586904071
2016,22,1,2,0.0010636965629672313
2016,22,1,3,0.0010483344351653878
2016,22,1,4,0.0011978224885403899
2016,22,1,5,0.0012982775457798246
2016,23,2,1,0.000489274922284233
2016,23,2,2,0.00047977117668140945
2016,23,2,3,0.0005356765218463844
2016,23,2,4,0.000500230302821536
2016,23,2,5,0.0005063800924450801
2016,23,1,1,0.0008555243586904071
2016,23,1,2,0.0010636965629672313
2016,23,1,3,0.0010483344351653878
2016,23,1,4,0.0011978224885403899
2016,23,1,5,0.0012982775457798246
2016,24,2,1,0.000489274922284233
2016,24,2,2,0.00047977117668140945
2016,24,2,3,0.0005356765218463844
2016,24,2,4,0.000500230302821536
2016,24,2,5,0.0005063800924450801
2016,24,1,1,0.0008555243586904071
2016,24,1,2,0.0010636965629672313
2016,24,1,3,0.0010483344351653878
2016,24,1,4,0.0011978224885403899
2016,24,1,5,0.0012982775457798246
2016,25,2,1,0.000489274922284233
2016,25,2,2,0.00047977117668140945
2016,25,2,3,0.0005356765218463844
2016,25,2,4,0.000500230302821536
2016,25,2,5,0.0005063800924450801
2016,25,1,1,0.0008555243586904071
2016,25,1,2,0.0010636965629672313
2016,25,1,3,0.0010483344351653878
2016,25,1,4,0.0011978224885403899
2016,25,1,5,0.0012982775457798246
2016,26,2,1,0.000489274922284233
2016,26,2,2,0.00047977117668140945
2016,26,2,3,0.0005356765218463844
2016,26,2,4,0.000500230302821536
2016,26,2,5,0.0005063800924450801
2016,26,1,1,0.0008555243586904071
2016,26,1,2,0.0010636965629672313
2016,26,1,3,0.0010483344351653878
2016,26,1,4,0.0011978224885403899
2016,26,1,5,0.0012982775457798246
2016,27,2,1,0.000489274922284233
2016,27,2,2,0.00047977117668140945
2016,27,2,3,0.0005356765218463844
2016,27,2,4,0.000500230302821536
2016,27,2,5,0.0005063800924450801
2016,27,1,1,0.0008555243586904071
2016,27,1,2,0.0010636965629672313
2016,27,1,3,0.0010483344351653878
2016,27,1,4,0.0011978224885403899
2016,27,1,5,0.0012982775457798246
2016,28,2,1,0.000489274922284233
2016,28,2,2,0.00047977117668140945
2016,28,2,3,0.0005356765218463844
2016,28,2,4,0.000500230302821536
2016,28,2,5,0.0005063800924450801
2016,28,1,1,0.0008555243586904071
2016,28,1,2,0.0010636965629672313
2016,28,1,3,0.0010483344351653878
2016,28,1,4,0.0011978224885403899
2016,28,1,5,0.0012982775457798246
2016,29,2,1,0.000489274922284233
2016,29,2,2,0.00047977117668140945
2016,29,2,3,0.0005356765218463844
2016,29,2,4,0.000500230302821536
2016,29,2,5,0.0005063800924450801
2016,29,1,1,0.0008555243586904071
2016,29,1,2,0.0010636965629672313
2016,29,1,3,0.0010483344351653878
